Time (ms),Channel A Voltage (V),Channel B Voltage (V)
9.6024209,0.00537126,0.02307199
9.6075409,-0.00344859,0.0319834
9.6126609,-0.00344859,0.0319834
9.6177809,-0.00344859,0.02307199
9.6229009,-0.00344859,0.02307199
9.6280209,0.00537126,0.0319834
9.6331409,-0.00344859,0.04092532
9.6382609,-0.00344859,0.0319834
9.6433809,0.00537126,0.02307199
9.6485009,0.00537126,0.0319834
9.6536209,0.00537126,0.04092532
9.6587409,-0.00344859,0.0319834
9.6638609,0.00537126,0.02307199
9.6689809,0.00537126,0.0319834
9.6741009,-0.00344859,0.0319834
9.6792209,-0.00344859,0.0319834
9.6843409,0.00537126,0.0319834
9.6894609,-0.00344859,0.02307199
9.6945809,0.00537126,0.02307199
9.6997009,0.00537126,0.0319834
9.7048209,-0.00344859,0.0319834
9.7099409,-0.00344859,0.02307199
9.7150609,0.00537126,0.01413007
9.7201809,0.00537126,0.02307199
9.7253009,-0.00344859,0.04092532
9.7304209,0.00537126,0.02307199
9.7355409,0.00537126,0.02307199
9.7406609,0.00537126,0.02307199
9.7457809,0.00537126,0.0319834
9.7509009,-0.00344859,0.02307199
9.7560209,-0.00344859,0.01413007
9.7611409,0.00537126,0.02307199
9.7662609,0.00537126,0.02307199
9.7713809,-0.00344859,0.0319834
9.7765009,0.00537126,0.02307199
9.7816209,0.00537126,0.02307199
9.7867409,-0.00344859,0.0319834
9.7918609,0.00537126,0.0319834
9.7969809,-0.00344859,0.0319834
9.8021009,-0.00344859,0.0319834
9.8072209,-0.00344859,0.01413007
9.8123409,0.00537126,0.02307199
9.8174609,-0.00344859,0.0319834
9.8225809,-0.00344859,0.02307199
9.8277009,0.00537126,0.01413007
9.8328209,0.00537126,0.02307199
9.8379409,0.00537126,0.04092532
9.8430609,-0.00344859,0.04092532
9.8481809,0.00537126,0.0319834
9.8533009,0.00537126,0.0319834
9.8584209,0.00537126,0.0319834
9.8635409,-0.00344859,0.04092532
9.8686609,0.00537126,0.0319834
9.8737809,0.00537126,0.02307199
9.8789009,-0.00344859,0.02307199
9.8840209,-0.00344859,0.0319834
9.8891409,-0.00344859,0.0319834
9.8942609,-0.00344859,0.0319834
9.8993809,-0.00344859,0.0319834
9.9045009,0.00537126,0.02307199
9.9096209,-0.00344859,0.04092532
9.9147409,-0.00344859,0.04092532
9.9198609,0.00537126,0.02307199
9.9249809,0.00537126,0.0319834
9.9301009,-0.00344859,0.04092532
9.9352209,-0.00344859,0.04092532
9.9403409,-0.00344859,0.0319834
9.9454609,0.00537126,0.0319834
9.9505809,0.00537126,0.04092532
9.9557009,-0.00344859,0.04092532
9.9608209,-0.00344859,0.0319834
9.9659409,0.00537126,0.02307199
9.9710609,-0.00344859,0.04092532
9.9761809,-0.00344859,0.04092532
9.9813009,0.00537126,0.0319834
9.9864209,-0.00344859,0.0319834
9.9915409,0.00537126,0.02307199
9.9966609,0.01419111,0.0319834
10.0017809,-0.00344859,0.0319834
10.0069009,-0.00344859,0.0319834
10.0120209,0.00537126,0.0319834
10.0171409,0.00537126,0.0319834
10.0222609,-0.00344859,0.04092532
10.0273809,-0.00344859,0.04092532
10.0325009,0.00537126,0.0319834
10.0376209,-0.00344859,0.0319834
10.0427409,0.00537126,0.0319834
10.0478609,-0.00344859,0.04092532
10.0529809,-0.00344859,0.04092532
10.0581009,0.00537126,0.02307199
10.0632209,0.00537126,0.0319834
10.0683409,-0.00344859,0.04092532
10.0734609,0.00537126,0.04092532
10.0785809,0.00537126,0.02307199
10.0837009,0.00537126,0.02307199
10.0888209,0.00537126,0.02307199
10.0939409,-0.00344859,0.0319834
10.0990609,-0.00344859,0.0319834
10.1041809,0.00537126,0.02307199
10.1093009,0.00537126,0.02307199
10.1144209,-0.00344859,0.0319834
10.1195409,0.00537126,0.04092532
10.1246609,-0.00344859,0.0319834
10.1297809,0.00537126,0.02307199
10.1349009,0.00537126,0.0319834
10.1400209,-0.00344859,0.04092532
10.1451409,-0.00344859,0.04092532
10.1502609,-0.00344859,0.02307199
10.1553809,0.00537126,0.02307199
10.1605009,-0.00344859,0.0319834
10.1656209,-0.00344859,0.0319834
10.1707409,0.00537126,0.01413007
10.1758609,0.00537126,0.02307199
10.1809809,0.00537126,0.02307199
10.1861009,0.00537126,0.0319834
10.1912209,-0.00344859,0.02307199
10.1963409,-0.00344859,0.02307199
10.2014609,-0.00344859,0.02307199
10.2065809,-0.00344859,0.0319834
10.2117009,0.00537126,0.0319834
10.2168209,-0.00344859,0.02307199
10.2219409,-0.00344859,0.02307199
10.2270609,0.00537126,0.02307199
10.2321809,-0.00344859,0.0319834
10.2373009,-0.00344859,0.0319834
10.2424209,0.00537126,0.01413007
10.2475409,0.00537126,0.01413007
10.2526609,-0.00344859,0.0319834
10.2577809,0.00537126,0.0319834
10.2629009,0.00537126,0.02307199
10.2680209,0.00537126,0.02307199
10.2731409,0.00537126,0.02307199
10.2782609,0.00537126,0.04092532
10.2833809,-0.00344859,0.0319834
10.2885009,0.00537126,0.0319834
10.2936209,0.00537126,0.04092532
10.2987409,-0.00344859,0.0319834
10.3038609,0.00537126,0.04092532
10.3089809,-0.00344859,0.0319834
10.3141009,0.00537126,0.0319834
10.3192209,0.00537126,0.0319834
10.3243409,0.00537126,0.0319834
10.3294609,-0.00344859,0.0319834
10.3345809,-0.00344859,0.02307199
10.3397009,0.00537126,0.02307199
10.3448209,0.00537126,0.02307199
10.3499409,0.00537126,0.04092532
10.3550609,0.00537126,0.02307199
10.3601809,0.00537126,0.02307199
10.3653009,0.00537126,0.0319834
10.3704209,-0.00344859,0.0319834
10.3755409,-0.00344859,0.0319834
10.3806609,0.00537126,0.02307199
10.3857809,0.00537126,0.02307199
10.3909009,-0.00344859,0.02307199
10.3960209,-0.00344859,0.02307199
10.4011409,0.00537126,0.01413007
10.4062609,-0.00344859,0.02307199
10.4113809,0.00537126,0.02307199
10.4165009,-0.00344859,0.02307199
10.4216209,-0.00344859,0.0319834
10.4267409,-0.00344859,0.02307199
10.4318609,0.00537126,0.02307199
10.4369809,-0.00344859,0.02307199
10.4421009,-0.00344859,0.0319834
10.4472209,-0.00344859,0.02307199
10.4523409,0.00537126,0.02307199
10.4574609,0.00537126,0.02307199
10.4625809,-0.00344859,0.0319834
10.4677009,-0.00344859,0.02307199
10.4728209,0.00537126,0.01413007
10.4779409,0.00537126,0.02307199
10.4830609,-0.00344859,0.0319834
10.4881809,0.00537126,0.0319834
10.4933009,0.00537126,0.02307199
10.4984209,-0.00344859,0.02307199
10.5035409,0.00537126,0.02307199
10.5086609,0.00537126,0.02307199
10.5137809,-0.00344859,0.0319834
10.5189009,-0.00344859,0.0319834
10.5240209,0.00537126,0.02307199
10.5291409,-0.00344859,0.02307199
10.5342609,0.00537126,0.0319834
10.5393809,-0.00344859,0.02307199
10.5445009,-0.00344859,0.02307199
10.5496209,0.00537126,0.02307199
10.5547409,-0.00344859,0.0319834
10.5598609,-0.00344859,0.0319834
10.5649809,0.00537126,0.02307199
10.5701009,-0.00344859,0.02307199
10.5752209,0.00537126,0.04092532
10.5803409,0.00537126,0.04092532
10.5854609,0.00537126,0.0319834
10.5905809,0.00537126,0.02307199
