Time (ms),Voltage (V)
3.67377907,-0.1058992
3.67633907,-0.1148411
3.67889907,-0.1148411
3.68145907,-0.1148411
3.68401907,-0.1148411
3.68657907,-0.1148411
3.68913907,-0.1148411
3.69169907,-0.1148411
3.69425907,-0.1148411
3.69681907,-0.1148411
3.69937907,-0.1058992
3.70193907,-0.1148411
3.70449907,-0.1148411
3.70705907,-0.1148411
3.70961907,-0.1148411
3.71217907,-0.1058992
3.71473907,-0.1058992
3.71729907,-0.1058992
3.71985907,-0.1058992
3.72241907,-0.1058992
3.72497907,-0.1058992
3.72753907,-0.1148411
3.73009907,-0.1148411
3.73265907,-0.1148411
3.73521907,-0.1058992
3.73777907,-0.1148411
3.74033907,-0.1148411
3.74289907,-0.1148411
3.74545907,-0.1148411
3.74801907,-0.1148411
3.75057907,-0.1148411
3.75313907,-0.1148411
3.75569907,-0.1148411
3.75825907,-0.1058992
3.76081907,-0.1058992
3.76337907,-0.1058992
3.76593907,-0.1058992
3.76849907,-0.1058992
3.77105907,-0.1058992
3.77361907,-0.1148411
3.77617907,-0.1058992
3.77873907,-0.1058992
3.78129907,-0.1148411
3.78385907,-0.1148411
3.78641907,-0.1148411
3.78897907,-0.1148411
3.79153907,-0.1148411
3.79409907,-0.1148411
3.79665907,-0.1148411
3.79921907,-0.1148411
3.80177907,-0.1148411
3.80433907,-0.1058992
3.80689907,-0.1058992
3.80945907,-0.1148411
3.81201907,-0.1148411
3.81457907,-0.1148411
3.81713907,-0.1148411
3.81969907,-0.1058992
3.82225907,-0.1058992
3.82481907,-0.1058992
3.82737907,-0.1058992
3.82993907,-0.1058992
3.83249907,-0.1058992
3.83505907,-0.1058992
3.83761907,-0.1058992
3.84017907,-0.1058992
3.84273907,-0.1058992
3.84529907,-0.1058992
3.84785907,-0.1058992
3.85041907,-0.1058992
3.85297907,-0.1058992
3.85553907,-0.09698782
3.85809907,-0.09698782
3.86065907,-0.1058992
3.86321907,-0.1058992
3.86577907,-0.1058992
3.86833907,-0.1058992
3.87089907,-0.1058992
3.87345907,-0.1058992
3.87601907,-0.1058992
3.87857907,-0.1058992
3.88113907,-0.1058992
3.88369907,-0.1058992
3.88625907,-0.1058992
3.88881907,-0.1058992
3.89137907,-0.1058992
3.89393907,-0.1058992
3.89649907,-0.1058992
3.89905907,-0.1058992
3.90161907,-0.1058992
3.90417907,-0.1058992
3.90673907,-0.1058992
3.90929907,-0.1058992
3.91185907,-0.1058992
3.91441907,-0.1058992
3.91697907,-0.1058992
3.91953907,-0.1058992
3.92209907,-0.1058992
3.92465907,-0.1058992
3.92721907,-0.1058992
3.92977907,-0.1058992
3.93233907,-0.1058992
3.93489907,-0.1148411
3.93745907,-0.1058992
3.94001907,-0.1058992
3.94257907,-0.1058992
3.94513907,-0.1148411
3.94769907,-0.1148411
3.95025907,-0.1058992
3.95281907,-0.1148411
3.95537907,-0.1148411
3.95793907,-0.1148411
3.96049907,-0.1148411
3.96305907,-0.1148411
3.96561907,-0.1148411
3.96817907,-0.1148411
3.97073907,-0.1148411
3.97329907,-0.1148411
3.97585907,-0.1148411
3.97841907,-0.1148411
3.98097907,-0.1148411
3.98353907,-0.1148411
3.98609907,-0.1148411
3.98865907,-0.1148411
3.99121907,-0.1148411
3.99377907,-0.1148411
3.99633907,-0.1058992
3.99889907,-0.1058992
4.00145907,-0.1058992
4.00401907,-0.1148411
4.00657907,-0.1058992
4.00913907,-0.1058992
4.01169907,-0.1058992
4.01425907,-0.1058992
